Order_ID,Customer_ID,Product_ID,Warehouse_ID,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Quantity,Sales,Profit,Delivery_Status
O00001,C0461,P020,W08,2024-08-04,2024-08-06,2024-08-07,Same Day,3,4449.51,1653.51,On Time
O00002,C0154,P102,W03,2024-01-17,2024-01-17,2024-01-18,Same Day,1,6374.8,2794.8,On Time
O00003,C0257,P036,W06,2025-02-02,2025-02-04,2025-02-05,Same Day,1,3613.4,727.4,On Time
O00004,C0016,P102,W10,2024-03-18,2024-03-19,2024-03-20,Same Day,3,19124.4,8384.4,On Time
O00005,C0044,P150,W07,2024-08-21,2024-08-22,2024-08-23,Same Day,4,11315.88,3115.88,On Time
O00006,C0163,P040,W07,2024-03-25,2024-03-26,2024-03-31,Standard,4,25504.2,10068.2,On Time
O00007,C0285,P115,W03,2025-01-03,2025-01-04,2025-01-14,Standard,5,32888.0,9278.0,Late
O00008,C0372,P100,W01,2025-09-04,2025-09-05,2025-09-07,Express,1,4565.78,1902.78,On Time
O00009,C0033,P127,W05,2025-01-24,2025-01-24,2025-01-29,Standard,2,13130.7,4550.7,On Time
O00010,C0316,P127,W05,2025-05-10,2025-05-10,2025-05-12,Express,5,32826.75,11376.75,On Time
O00011,C0172,P085,W10,2024-01-07,2024-01-08,2024-01-10,Express,4,3221.64,829.64,On Time
O00012,C0161,P052,W06,2025-08-31,2025-08-31,2025-09-02,Express,4,13184.0,5228.0,On Time
O00013,C0193,P063,W08,2024-10-25,2024-10-27,2024-10-28,Same Day,3,13352.79,5180.79,On Time
O00014,C0014,P047,W10,2024-04-26,2024-04-28,2024-05-03,Standard,5,18580.5,5500.5,On Time
O00015,C0124,P036,W07,2024-10-25,2024-10-27,2024-11-01,Standard,3,10840.2,2182.2,On Time
O00016,C0260,P103,W10,2025-01-21,2025-01-21,2025-01-23,Express,5,29072.75,6367.75,On Time
O00017,C0394,P022,W10,2025-01-03,2025-01-05,2025-01-06,Same Day,1,2370.49,736.49,On Time
O00018,C0495,P103,W10,2025-10-24,2025-10-26,2025-10-31,Standard,3,17443.65,3820.65,On Time
O00019,C0238,P096,W10,2025-06-15,2025-06-17,2025-06-18,Same Day,4,22210.68,8922.68,On Time
O00020,C0267,P117,W03,2025-03-01,2025-03-01,2025-03-10,Standard,2,8706.44,2420.44,Late
O00021,C0477,P028,W02,2024-03-09,2024-03-10,2024-03-17,Standard,2,14085.7,4785.7,Late
O00022,C0096,P104,W08,2024-12-04,2024-12-06,2024-12-08,Express,2,6049.48,1473.48,On Time
O00023,C0143,P055,W07,2024-07-21,2024-07-22,2024-07-23,Same Day,2,2768.52,530.52,On Time
O00024,C0344,P030,W06,2025-07-03,2025-07-03,2025-07-05,Express,3,4707.06,1341.06,On Time
O00025,C0433,P090,W07,2025-09-03,2025-09-04,2025-09-05,Same Day,3,20532.03,5775.03,On Time
O00026,C0123,P081,W10,2025-12-23,2025-12-24,2025-12-26,Same Day,1,1370.53,246.53,Late
O00027,C0217,P148,W07,2024-05-24,2024-05-26,2024-05-28,Express,4,23125.12,10101.12,On Time
O00028,C0318,P081,W03,2025-10-22,2025-10-22,2025-10-23,Same Day,4,5482.12,986.12,On Time
O00029,C0210,P130,W07,2025-05-11,2025-05-11,2025-05-16,Standard,4,16061.24,3721.24,On Time
O00030,C0141,P075,W10,2025-05-15,2025-05-15,2025-05-21,Standard,1,5187.67,1768.67,Late
O00031,C0059,P029,W08,2025-04-13,2025-04-15,2025-04-16,Same Day,5,32059.6,10409.6,On Time
O00032,C0377,P109,W08,2025-01-10,2025-01-12,2025-01-17,Standard,1,6355.74,1577.74,On Time
O00033,C0108,P031,W02,2025-04-05,2025-04-06,2025-04-08,Express,2,12581.48,4663.48,On Time
O00034,C0180,P016,W03,2025-03-14,2025-03-14,2025-03-15,Same Day,5,2152.25,942.25,On Time
O00035,C0070,P132,W10,2025-12-21,2025-12-22,2025-12-24,Express,1,1031.28,350.28,On Time
O00036,C0251,P064,W03,2025-11-02,2025-11-02,2025-11-07,Same Day,4,15438.68,6302.68,Late
O00037,C0264,P024,W02,2025-02-28,2025-03-01,2025-03-03,Express,4,22342.36,5310.36,On Time
O00038,C0326,P024,W10,2025-04-10,2025-04-11,2025-04-16,Express,4,22342.36,5310.36,Late
O00039,C0173,P083,W04,2025-02-11,2025-02-11,2025-02-13,Express,3,8620.92,2107.92,On Time
O00040,C0476,P005,W01,2024-12-17,2024-12-19,2024-12-26,Standard,1,5366.16,2339.16,Late
O00041,C0336,P071,W05,2025-12-06,2025-12-06,2025-12-07,Same Day,1,6670.15,2796.15,On Time
O00042,C0336,P060,W07,2025-10-26,2025-10-26,2025-10-31,Standard,4,25945.56,10549.56,On Time
O00043,C0357,P003,W09,2024-05-15,2024-05-17,2024-05-22,Standard,1,3349.32,909.32,On Time
O00044,C0053,P023,W08,2025-03-08,2025-03-10,2025-03-17,Standard,1,893.76,396.76,Late
O00045,C0180,P043,W03,2025-01-26,2025-01-26,2025-01-29,Same Day,4,10566.32,2026.32,Late
O00046,C0072,P023,W08,2025-02-25,2025-02-27,2025-02-28,Same Day,1,893.76,396.76,On Time
O00047,C0284,P022,W04,2025-03-15,2025-03-16,2025-03-21,Standard,2,4740.98,1472.98,On Time
O00048,C0152,P049,W09,2025-11-05,2025-11-06,2025-11-11,Standard,4,8566.88,2750.88,On Time
O00049,C0456,P019,W02,2024-09-02,2024-09-03,2024-09-05,Express,5,19410.05,5255.05,On Time
O00050,C0489,P045,W07,2024-05-15,2024-05-16,2024-05-17,Same Day,4,30278.72,13014.72,On Time
O00051,C0217,P129,W09,2024-02-10,2024-02-10,2024-02-12,Express,4,24911.48,8039.48,On Time
O00052,C0499,P131,W02,2025-09-22,2025-09-22,2025-09-24,Express,2,13965.42,4611.42,On Time
O00053,C0030,P112,W02,2025-10-11,2025-10-13,2025-10-14,Same Day,2,3826.96,1504.96,On Time
O00054,C0007,P045,W01,2025-04-09,2025-04-11,2025-04-12,Same Day,1,7569.68,3253.68,On Time
O00055,C0376,P033,W05,2024-12-21,2024-12-23,2024-12-24,Same Day,3,12091.17,4243.17,On Time
O00056,C0262,P128,W10,2025-06-20,2025-06-20,2025-06-22,Express,4,16063.12,4203.12,On Time
O00057,C0117,P147,W05,2024-06-19,2024-06-20,2024-06-25,Standard,1,4006.26,1617.26,On Time
O00058,C0477,P039,W06,2024-09-07,2024-09-07,2024-09-09,Express,2,691.8,181.8,On Time
O00059,C0423,P082,W06,2025-11-02,2025-11-03,2025-11-08,Standard,3,17104.74,6202.74,On Time
O00060,C0168,P073,W07,2024-08-16,2024-08-18,2024-08-25,Standard,3,17726.43,3875.43,Late
O00061,C0498,P095,W10,2025-07-31,2025-08-01,2025-08-02,Same Day,5,35585.05,11820.05,On Time
O00062,C0278,P007,W01,2025-07-13,2025-07-13,2025-07-18,Standard,2,2384.84,690.84,On Time
O00063,C0106,P079,W07,2024-01-10,2024-01-11,2024-01-16,Standard,1,2806.24,725.24,On Time
O00064,C0359,P134,W02,2024-05-25,2024-05-27,2024-05-30,Express,4,9046.12,3742.12,Late
O00065,C0223,P146,W03,2025-08-17,2025-08-17,2025-08-18,Same Day,1,6097.75,1585.75,On Time
O00066,C0039,P070,W06,2024-11-18,2024-11-19,2024-11-20,Same Day,2,10380.2,3094.2,On Time
O00067,C0184,P031,W03,2024-04-21,2024-04-21,2024-04-26,Standard,5,31453.7,11658.7,On Time
O00068,C0428,P011,W05,2024-05-02,2024-05-02,2024-05-07,Standard,2,3433.86,1245.86,On Time
O00069,C0016,P067,W01,2024-12-30,2024-12-31,2025-01-01,Same Day,2,16646.12,7380.12,On Time
O00070,C0032,P032,W08,2025-07-17,2025-07-17,2025-07-23,Standard,1,2084.58,359.58,Late
O00071,C0012,P067,W02,2025-01-16,2025-01-18,2025-01-19,Same Day,1,8323.06,3690.06,On Time
O00072,C0474,P013,W02,2024-05-11,2024-05-11,2024-05-15,Express,2,12152.16,3052.16,Late
O00073,C0141,P055,W07,2024-01-31,2024-02-01,2024-02-02,Same Day,2,2768.52,530.52,On Time
O00074,C0452,P128,W04,2025-09-20,2025-09-22,2025-09-23,Same Day,4,16063.12,4203.12,On Time
O00075,C0196,P140,W09,2024-05-20,2024-05-21,2024-05-26,Standard,1,359.38,62.38,On Time
O00076,C0164,P047,W06,2024-12-18,2024-12-20,2024-12-21,Same Day,1,3716.1,1100.1,On Time
O00077,C0499,P150,W09,2024-10-14,2024-10-14,2024-10-16,Express,2,5657.94,1557.94,On Time
O00078,C0434,P057,W01,2024-09-29,2024-10-01,2024-10-02,Same Day,5,9266.4,2131.4,On Time
O00079,C0015,P092,W10,2024-06-26,2024-06-26,2024-07-01,Standard,5,29784.2,7434.2,On Time
O00080,C0047,P126,W09,2025-07-30,2025-07-30,2025-08-01,Express,1,2975.75,891.75,On Time
O00081,C0175,P052,W06,2025-06-23,2025-06-24,2025-06-29,Standard,2,6592.0,2614.0,On Time
O00082,C0441,P029,W03,2024-11-27,2024-11-27,2024-12-02,Standard,5,32059.6,10409.6,On Time
O00083,C0500,P083,W02,2025-11-09,2025-11-10,2025-11-11,Same Day,2,5747.28,1405.28,On Time
O00084,C0403,P144,W06,2025-10-16,2025-10-17,2025-10-18,Same Day,5,9419.45,4039.45,On Time
O00085,C0201,P001,W05,2024-06-28,2024-06-29,2024-07-01,Express,5,15318.25,5828.25,On Time
O00086,C0382,P037,W10,2025-09-18,2025-09-18,2025-09-21,Same Day,3,3857.88,914.88,Late
O00087,C0128,P068,W06,2024-06-20,2024-06-22,2024-06-27,Standard,2,9915.68,1781.68,On Time
O00088,C0253,P043,W08,2024-01-02,2024-01-02,2024-01-04,Express,4,10566.32,2026.32,On Time
O00089,C0151,P019,W04,2025-05-05,2025-05-07,2025-05-08,Same Day,1,3882.01,1051.01,On Time
O00090,C0483,P020,W07,2024-03-16,2024-03-17,2024-03-22,Standard,5,7415.85,2755.85,On Time
O00091,C0456,P043,W07,2025-05-09,2025-05-11,2025-05-16,Standard,5,13207.9,2532.9,On Time
O00092,C0122,P073,W09,2025-02-23,2025-02-25,2025-02-26,Same Day,3,17726.43,3875.43,On Time
O00093,C0246,P076,W06,2025-05-17,2025-05-17,2025-05-23,Standard,5,17213.05,7093.05,Late
O00094,C0242,P079,W08,2025-10-15,2025-10-16,2025-10-21,Standard,4,11224.96,2900.96,On Time
O00095,C0023,P048,W03,2025-10-19,2025-10-21,2025-10-23,Express,4,14159.84,6179.84,On Time
O00096,C0414,P022,W03,2024-10-02,2024-10-04,2024-10-09,Standard,3,7111.47,2209.47,On Time
O00097,C0294,P138,W09,2025-07-20,2025-07-20,2025-07-22,Express,4,26537.52,9905.52,On Time
O00098,C0486,P115,W10,2025-08-07,2025-08-09,2025-08-10,Same Day,2,13155.2,3711.2,On Time
O00099,C0422,P112,W02,2024-05-09,2024-05-09,2024-05-11,Express,2,3826.96,1504.96,On Time
O00100,C0267,P084,W09,2024-03-09,2024-03-09,2024-03-11,Express,3,2091.72,666.72,On Time
O00101,C0289,P026,W10,2025-02-28,2025-02-28,2025-03-05,Standard,1,4073.81,1429.81,On Time
O00102,C0243,P147,W07,2024-12-18,2024-12-19,2024-12-21,Express,5,20031.3,8086.3,On Time
O00103,C0382,P061,W07,2025-09-25,2025-09-27,2025-09-30,Same Day,1,1930.17,650.17,Late
O00104,C0498,P126,W05,2024-01-21,2024-01-22,2024-01-24,Express,1,2975.75,891.75,On Time
O00105,C0227,P023,W07,2025-03-29,2025-03-30,2025-04-01,Express,2,1787.52,793.52,On Time
O00106,C0160,P041,W01,2025-05-11,2025-05-13,2025-05-15,Express,1,4141.75,1468.75,On Time
O00107,C0128,P052,W04,2025-08-05,2025-08-05,2025-08-10,Standard,1,3296.0,1307.0,On Time
O00108,C0326,P130,W06,2025-12-22,2025-12-22,2025-12-24,Express,4,16061.24,3721.24,On Time
O00109,C0177,P142,W03,2025-05-15,2025-05-17,2025-05-19,Express,3,1531.35,511.35,On Time
O00110,C0400,P042,W01,2025-12-06,2025-12-06,2025-12-08,Express,5,1987.9,522.9,On Time
O00111,C0467,P003,W07,2025-11-24,2025-11-24,2025-11-26,Express,4,13397.28,3637.28,On Time
O00112,C0217,P079,W10,2024-01-09,2024-01-09,2024-01-11,Express,3,8418.72,2175.72,On Time
O00113,C0053,P102,W09,2024-08-11,2024-08-12,2024-08-14,Express,5,31874.0,13974.0,On Time
O00114,C0247,P077,W10,2025-01-18,2025-01-20,2025-01-21,Same Day,1,3907.31,1263.31,On Time
O00115,C0461,P133,W05,2024-11-28,2024-11-29,2024-12-01,Express,2,1980.38,786.38,On Time
O00116,C0152,P007,W06,2025-09-06,2025-09-07,2025-09-08,Same Day,4,4769.68,1381.68,On Time
O00117,C0352,P088,W10,2024-02-06,2024-02-08,2024-02-09,Same Day,2,4047.3,1353.3,On Time
O00118,C0066,P025,W09,2025-06-03,2025-06-04,2025-06-09,Standard,4,17750.64,7466.64,On Time
O00119,C0216,P058,W02,2024-07-06,2024-07-08,2024-07-10,Express,3,14547.45,3090.45,On Time
O00120,C0484,P150,W01,2025-04-19,2025-04-19,2025-04-21,Express,5,14144.85,3894.85,On Time
O00121,C0071,P014,W09,2024-05-02,2024-05-04,2024-05-06,Express,2,1587.74,327.74,On Time
O00122,C0325,P046,W03,2025-04-13,2025-04-13,2025-04-15,Express,3,13302.42,5061.42,On Time
O00123,C0315,P023,W08,2024-06-21,2024-06-23,2024-06-28,Standard,2,1787.52,793.52,On Time
O00124,C0457,P096,W01,2025-05-03,2025-05-04,2025-05-09,Standard,1,5552.67,2230.67,On Time
O00125,C0067,P089,W04,2024-01-19,2024-01-21,2024-01-26,Standard,3,10734.9,4380.9,On Time
O00126,C0306,P117,W05,2024-06-20,2024-06-20,2024-06-25,Standard,5,21766.1,6051.1,On Time
O00127,C0010,P043,W06,2024-05-17,2024-05-18,2024-05-20,Express,4,10566.32,2026.32,On Time
O00128,C0365,P032,W10,2024-08-04,2024-08-06,2024-08-11,Standard,3,6253.74,1078.74,On Time
O00129,C0025,P028,W10,2025-07-01,2025-07-03,2025-07-08,Standard,1,7042.85,2392.85,On Time
O00130,C0339,P078,W03,2025-07-14,2025-07-15,2025-07-19,Express,4,27111.44,8471.44,Late
O00131,C0369,P027,W07,2025-09-12,2025-09-14,2025-09-19,Standard,5,20177.25,5457.25,On Time
O00132,C0184,P134,W04,2025-05-24,2025-05-24,2025-05-25,Same Day,2,4523.06,1871.06,On Time
O00133,C0428,P023,W04,2025-12-05,2025-12-06,2025-12-11,Express,1,893.76,396.76,Late
O00134,C0238,P076,W08,2024-09-19,2024-09-21,2024-09-26,Standard,3,10327.83,4255.83,On Time
O00135,C0436,P030,W06,2024-02-10,2024-02-11,2024-02-13,Express,1,1569.02,447.02,On Time
O00136,C0191,P069,W06,2025-10-24,2025-10-24,2025-10-26,Express,1,2781.16,1107.16,On Time
O00137,C0068,P043,W08,2025-04-12,2025-04-13,2025-04-15,Express,1,2641.58,506.58,On Time
O00138,C0313,P113,W08,2024-04-16,2024-04-17,2024-04-18,Same Day,2,7074.4,2700.4,On Time
O00139,C0226,P029,W08,2025-12-01,2025-12-03,2025-12-08,Standard,4,25647.68,8327.68,On Time
O00140,C0115,P148,W09,2024-01-13,2024-01-15,2024-01-16,Same Day,5,28906.4,12626.4,On Time
O00141,C0430,P099,W04,2025-09-25,2025-09-25,2025-09-27,Express,2,10969.1,2811.1,On Time
O00142,C0170,P083,W03,2025-06-01,2025-06-02,2025-06-09,Express,2,5747.28,1405.28,Late
O00143,C0046,P147,W04,2025-10-20,2025-10-21,2025-10-25,Express,4,16025.04,6469.04,Late
O00144,C0406,P001,W01,2024-04-15,2024-04-16,2024-04-18,Express,1,3063.65,1165.65,On Time
O00145,C0433,P014,W06,2025-11-01,2025-11-03,2025-11-05,Express,2,1587.74,327.74,On Time
O00146,C0389,P030,W06,2025-09-06,2025-09-07,2025-09-08,Same Day,1,1569.02,447.02,On Time
O00147,C0460,P028,W09,2025-10-10,2025-10-11,2025-10-12,Same Day,1,7042.85,2392.85,On Time
O00148,C0111,P031,W10,2025-02-23,2025-02-23,2025-02-25,Express,4,25162.96,9326.96,On Time
O00149,C0235,P032,W01,2024-12-12,2024-12-12,2024-12-14,Express,4,8338.32,1438.32,On Time
O00150,C0089,P046,W09,2025-03-19,2025-03-21,2025-03-23,Express,5,22170.7,8435.7,On Time
O00151,C0204,P064,W07,2025-09-12,2025-09-13,2025-09-14,Same Day,3,11579.01,4727.01,On Time
O00152,C0432,P132,W10,2024-05-16,2024-05-16,2024-05-18,Express,3,3093.84,1050.84,On Time
O00153,C0472,P075,W04,2025-10-09,2025-10-09,2025-10-14,Standard,3,15563.01,5306.01,On Time
O00154,C0246,P091,W06,2024-07-01,2024-07-03,2024-07-04,Same Day,5,18964.45,4834.45,On Time
O00155,C0075,P007,W01,2025-06-30,2025-07-01,2025-07-03,Express,4,4769.68,1381.68,On Time
O00156,C0105,P016,W05,2024-06-13,2024-06-14,2024-06-15,Same Day,3,1291.35,565.35,On Time
O00157,C0122,P144,W09,2025-09-22,2025-09-24,2025-09-25,Same Day,4,7535.56,3231.56,On Time
O00158,C0318,P065,W09,2025-03-02,2025-03-04,2025-03-09,Express,2,6141.54,2171.54,Late
O00159,C0101,P140,W06,2025-12-22,2025-12-24,2025-12-25,Same Day,5,1796.9,311.9,On Time
O00160,C0285,P110,W03,2025-11-30,2025-11-30,2025-12-06,Standard,3,12134.58,3353.58,Late
O00161,C0079,P040,W08,2024-09-18,2024-09-18,2024-09-20,Express,1,6376.05,2517.05,On Time
O00162,C0184,P147,W05,2025-10-02,2025-10-04,2025-10-05,Same Day,5,20031.3,8086.3,On Time
O00163,C0279,P041,W02,2024-08-13,2024-08-13,2024-08-14,Same Day,4,16567.0,5875.0,On Time
O00164,C0272,P056,W06,2024-08-06,2024-08-08,2024-08-10,Express,5,28672.1,6972.1,On Time
O00165,C0350,P063,W06,2025-10-26,2025-10-26,2025-10-31,Standard,1,4450.93,1726.93,On Time
O00166,C0421,P007,W09,2024-04-26,2024-04-27,2024-04-29,Express,5,5962.1,1727.1,On Time
O00167,C0086,P022,W04,2025-05-13,2025-05-13,2025-05-15,Express,1,2370.49,736.49,On Time
O00168,C0425,P053,W07,2025-10-06,2025-10-06,2025-10-07,Same Day,5,6591.55,2241.55,On Time
O00169,C0038,P010,W08,2025-12-03,2025-12-03,2025-12-08,Standard,1,7771.44,2967.44,On Time
O00170,C0222,P116,W05,2024-03-13,2024-03-15,2024-03-20,Standard,4,19639.24,6367.24,On Time
O00171,C0359,P150,W10,2025-07-01,2025-07-01,2025-07-05,Same Day,1,2828.97,778.97,Late
O00172,C0421,P098,W10,2024-10-23,2024-10-25,2024-10-29,Express,4,17207.2,4075.2,Late
O00173,C0347,P037,W09,2024-05-19,2024-05-21,2024-05-23,Express,3,3857.88,914.88,On Time
O00174,C0157,P141,W10,2024-02-12,2024-02-12,2024-02-13,Same Day,1,3727.54,1277.54,On Time
O00175,C0316,P048,W09,2024-12-18,2024-12-18,2024-12-20,Express,2,7079.92,3089.92,On Time
O00176,C0344,P019,W08,2025-08-03,2025-08-03,2025-08-04,Same Day,3,11646.03,3153.03,On Time
O00177,C0146,P061,W06,2025-08-17,2025-08-18,2025-08-20,Express,1,1930.17,650.17,On Time
O00178,C0291,P040,W05,2025-04-06,2025-04-07,2025-04-08,Same Day,5,31880.25,12585.25,On Time
O00179,C0431,P112,W04,2024-06-21,2024-06-21,2024-06-23,Express,3,5740.44,2257.44,On Time
O00180,C0056,P125,W06,2025-05-06,2025-05-07,2025-05-09,Express,5,16905.05,3815.05,On Time
O00181,C0324,P005,W02,2025-07-05,2025-07-05,2025-07-07,Express,5,26830.8,11695.8,On Time
O00182,C0335,P139,W09,2025-08-27,2025-08-27,2025-09-01,Standard,4,1543.64,527.64,On Time
O00183,C0258,P102,W03,2025-08-26,2025-08-28,2025-08-30,Express,3,19124.4,8384.4,On Time
O00184,C0290,P041,W09,2025-09-20,2025-09-22,2025-09-27,Standard,2,8283.5,2937.5,On Time
O00185,C0120,P068,W08,2025-01-02,2025-01-02,2025-01-07,Standard,3,14873.52,2672.52,On Time
O00186,C0053,P011,W08,2025-01-04,2025-01-05,2025-01-07,Express,3,5150.79,1868.79,On Time
O00187,C0335,P094,W07,2025-07-11,2025-07-13,2025-07-18,Standard,5,12872.6,4702.6,On Time
O00188,C0406,P089,W06,2024-08-16,2024-08-18,2024-08-20,Express,4,14313.2,5841.2,On Time
O00189,C0096,P055,W09,2024-06-18,2024-06-18,2024-06-23,Standard,2,2768.52,530.52,On Time
O00190,C0346,P030,W07,2024-05-01,2024-05-03,2024-05-08,Standard,4,6276.08,1788.08,On Time
O00191,C0323,P042,W04,2025-10-24,2025-10-25,2025-11-02,Standard,2,795.16,209.16,Late
O00192,C0450,P145,W09,2024-06-19,2024-06-20,2024-06-25,Standard,1,1907.96,488.96,On Time
O00193,C0421,P037,W03,2025-09-13,2025-09-14,2025-09-21,Express,5,6429.8,1524.8,Late
O00194,C0194,P018,W06,2024-06-20,2024-06-22,2024-06-23,Same Day,2,13075.64,4853.64,On Time
O00195,C0258,P010,W08,2025-09-12,2025-09-12,2025-09-17,Standard,5,38857.2,14837.2,On Time
O00196,C0358,P095,W07,2025-09-09,2025-09-11,2025-09-16,Standard,1,7117.01,2364.01,On Time
O00197,C0393,P066,W10,2025-01-25,2025-01-26,2025-01-28,Same Day,4,20650.6,5970.6,Late
O00198,C0004,P031,W01,2024-07-12,2024-07-12,2024-07-13,Same Day,5,31453.7,11658.7,On Time
O00199,C0134,P150,W02,2024-11-19,2024-11-20,2024-11-22,Express,3,8486.91,2336.91,On Time
O00200,C0092,P143,W07,2025-11-27,2025-11-28,2025-12-03,Standard,4,25100.6,10192.6,On Time
O00201,C0229,P031,W07,2024-11-10,2024-11-12,2024-11-14,Express,2,12581.48,4663.48,On Time
O00202,C0422,P002,W01,2024-12-12,2024-12-14,2024-12-15,Same Day,1,4161.61,1364.61,On Time
O00203,C0477,P010,W04,2024-03-31,2024-03-31,2024-04-02,Express,4,31085.76,11869.76,On Time
O00204,C0147,P052,W03,2025-12-29,2025-12-31,2026-01-05,Standard,5,16480.0,6535.0,On Time
O00205,C0123,P010,W10,2025-06-12,2025-06-14,2025-06-19,Standard,3,23314.32,8902.32,On Time
O00206,C0378,P133,W07,2024-12-27,2024-12-29,2024-12-31,Express,1,990.19,393.19,On Time
O00207,C0311,P071,W06,2025-07-26,2025-07-28,2025-07-30,Express,2,13340.3,5592.3,On Time
O00208,C0258,P144,W07,2024-01-05,2024-01-06,2024-01-11,Standard,1,1883.89,807.89,On Time
O00209,C0395,P145,W08,2025-08-11,2025-08-12,2025-08-13,Same Day,4,7631.84,1955.84,On Time
O00210,C0133,P124,W10,2025-04-14,2025-04-16,2025-04-18,Express,1,7712.67,2728.67,On Time
O00211,C0265,P106,W04,2024-08-13,2024-08-15,2024-08-16,Same Day,3,4367.88,1496.88,On Time
O00212,C0182,P122,W06,2024-10-21,2024-10-21,2024-10-24,Express,3,2647.59,925.59,Late
O00213,C0106,P062,W04,2025-11-30,2025-11-30,2025-12-02,Express,3,17849.22,3392.22,On Time
O00214,C0004,P127,W02,2025-09-25,2025-09-26,2025-10-02,Standard,5,32826.75,11376.75,Late
O00215,C0204,P131,W05,2024-11-18,2024-11-19,2024-11-20,Same Day,3,20948.13,6917.13,On Time
O00216,C0235,P101,W09,2025-06-22,2025-06-23,2025-06-27,Express,2,13966.28,5980.28,Late
O00217,C0186,P026,W04,2025-12-06,2025-12-06,2025-12-11,Standard,3,12221.43,4289.43,On Time
O00218,C0108,P128,W06,2024-10-02,2024-10-03,2024-10-04,Same Day,4,16063.12,4203.12,On Time
O00219,C0370,P059,W03,2025-02-14,2025-02-15,2025-02-17,Express,1,7432.14,2455.14,On Time
O00220,C0458,P128,W03,2025-01-25,2025-01-25,2025-02-01,Standard,2,8031.56,2101.56,Late
O00221,C0417,P016,W07,2025-07-29,2025-07-31,2025-08-06,Standard,2,860.9,376.9,Late
O00222,C0478,P144,W05,2025-04-05,2025-04-07,2025-04-09,Express,5,9419.45,4039.45,On Time
O00223,C0400,P138,W04,2024-12-25,2024-12-27,2024-12-28,Same Day,2,13268.76,4952.76,On Time
O00224,C0324,P074,W02,2025-05-14,2025-05-16,2025-05-18,Express,4,6122.4,1438.4,On Time
O00225,C0083,P019,W10,2024-12-11,2024-12-12,2024-12-13,Same Day,1,3882.01,1051.01,On Time
O00226,C0400,P070,W10,2024-10-25,2024-10-27,2024-10-29,Express,4,20760.4,6188.4,On Time
O00227,C0482,P061,W03,2025-04-06,2025-04-07,2025-04-12,Standard,3,5790.51,1950.51,On Time
O00228,C0054,P135,W09,2024-04-07,2024-04-07,2024-04-11,Express,1,1227.97,471.97,Late
O00229,C0270,P033,W05,2024-08-22,2024-08-22,2024-08-23,Same Day,2,8060.78,2828.78,On Time
O00230,C0070,P141,W09,2024-11-29,2024-11-30,2024-12-02,Express,4,14910.16,5110.16,On Time
O00231,C0466,P137,W09,2025-10-13,2025-10-15,2025-10-17,Express,3,3274.92,1189.92,On Time
O00232,C0006,P040,W06,2024-04-01,2024-04-02,2024-04-04,Express,3,19128.15,7551.15,On Time
O00233,C0154,P126,W08,2024-05-19,2024-05-20,2024-05-22,Express,4,11903.0,3567.0,On Time
O00234,C0224,P106,W09,2025-09-03,2025-09-03,2025-09-08,Standard,5,7279.8,2494.8,On Time
